,,,"FIC (SuZhou) Limited",,
,,,,,
"SEQ","P/N","Description","Demand Q'ty","Q'ty in Stock","Usable Q'ty"
1,"01-11846-01         ","CPU SC32442B54 500MHz 16KB 1.7V FBGA 332PIN SAMSUNG FOR GSM LR                  ","10 ","5838 ",5828
3,"02-22119-01         ","SDRAM MOBILE K4M51323PC-DG75 512Mb(16M*32BIT) 133MHZ 7.5ns 1.8V FBGA 90PIN Samsu","10 ","0 ",-10
,"02-22127-01         ","* OldPn 02-22119-01 *","0 ","1 ",1
8,"05-11111-01         ","DL-IC SN74LVC1G08DCKR(G4) 7408 LVC SC70 5PIN TI LR                              ","10 ","0 ",-10
9,"05-11191-01         ","DL-IC SN74LVC2G125DCUR DUAL BUS BUFFER GATE VSSOP-DCU 8PIN TI FOR GSM LR        ","10 ","0 ",461
10,"05-11193-01         ","DL-IC SN74LVC2G126DCUR 74126 LVC VSSOP 8PIN TI LR                               ","10 ","1873 ",1863
11,"05-11219-01         ","DL-IC SN74AHC1G125DCKR 74125 AHC SC-70 5PIN TI FOR GSM LR                       ","10 ","282 ",272
12,"05-11220-01         ","DL-IC SN74AUP1G00DCKR 7400 AUP SC-70 5PIN TI FOR GSM LR                         ","10 ","0 ",-10
13,"05-21853-01         ","ASIC HI-FI AND Telephony Dual Codec WM8753LGEFL QFN 48PIN WOLFSON LR            ","10 ","0 ",-10
18,"05-23859-01         ","ASIC Power supply&Battery Controller PCF50633HN/04/N3,5 68PIN VER:04 NXP FOR GSM","1000 ","0 "
19,"05-23865-01         ","ASIC ATR0635-7KQY ANTARIS4 GPS SINGLE CHIP QFN96 96PIN ATMEL FOR GSM LR         ","10 ","0 ",-10
20,"05-32048-01         ","LNR-IC Power AMP RF3166 Ultra-Small 6*6mm 9PIN RFMD FOR GSM LR                  ","10 ","0 ",-10
21,"05-32083-01         ","LNR-IC HIGH-SIDE CURRET MONITON ZXCT1009FTA SOT-23 3PIN ZETEX FOR GSM LR        ","10 ","0 ",1107
22,"05-32084-01         ","LNR-IC SPDT SWITCH UPG2012TB-E3 SUPER MINIMOLD 6PIN NEC FOR GSM LR              ","10 ","0 ",1512
25,"05-32273-01         ","LNR-IC LOGIC LEVEL TRANSLATOR ADG3304BCBZ-REEL 1.15V-5.5V BGA WLCSP 12PIN ADI FO","10 ","0 ",1253
26,"05-32289-01         ","LNR-IC REGULATOR LDO RT9013-12PB 1.2V 500mA SOT-23 5PIN RICHTEK FOR GSM LR      ","10 ","4558 ",4608
27,"05-32290-01         ","LNR-IC V-DETECTOR R3113D241A-TR-F 2.4V SON1408-3 3PIN RICOH FOR GSM LR          ","10 ","0 ",4900
28,"05-32302-01         ","LNR-IC GPS LOW-NOISE AMPLIFIER 2.7-3.3V ATR0610-PQQ PLLP6 6PIN ATMEL LR         ","10 ","0 ",1085
29,"05-32303-01         ","LNR-IC USB POWER SWITCH AAT1275IRN-5.0-T1 2.7-5.0V 500mA TDFN34-16 16PIN AATI fo","10 ","0 ",-10
30,"05-32305-01         ","LNR-IC POWER SWITCH RT9711BPB 1.5A SOT-23-5 5PIN RICHTEK for GSM LR             ","10 ","0 ",27
31,"05-32306-01         ","LNR-IC POWER SWITCH RT9702APB 1.1A SOT-23-5 5PIN RICHTEK for GSM LR             ","10 ","0 ",29
,"05-32400-00         ","* OldPn 05-32303-01 *","0 ","0 ",0
33,"06-10733-01         ","DIODE Variable Capacitance HVC375BTRF-E 10V UFP 2PIN RENESAS FOR GSM LR         ","10 ","0 ",-10
34,"06-10795-01         ","DIODE SWITCHING 1SS400 80V 100mA SC-79(SOD-523) 2PIN ROHM FOR GSM LR            ","10 ","114 ",1439
35,"06-23994-01         ","TRANS PNP EMB9T2R -50V -100mA EMT6 6PIN ROHM FOR GSM LR                         ","10 ","0 ",375
36,"06-23998-01         ","TRANS PNP PDTA114YE -50V -100mA SOT416 3PIN PHILIPS FOR GSM LR                  ","10 ","3113 ",3173
37,"06-24000-01         ","TRANS NPN DTC123JETL 50V 100mA EMT3 3PIN ROHM FOR GSM LR                        ","20 ","6050 ",6391
38,"06-24051-01         ","TRANS MOS-FET-P GSM9105 20V 3.4A SOT-23 3PIN GLOBALTECH LR                      ","10 ","0 ",-10
39,"06-24072-01         ","TRANS LOW FREQUENCY ISC5804AT2 50V 200mA SOT-23 3PIN ISAHAYA FOR GSM LR         ","10 ","0 ",55
40,"06-24079-01         ","TRANS M-FET-P LEVEL SHIFT SI1040X-T1-E3 -8V -430mA SC-89 6PIN VISHAY FOR GSM LR ","20 ","0 ",773
41,"06-24088-01         ","TRANS FOR GSM NPN DUAL RT3N77U-T111-1 50V 100mA USM6F 6PIN LR                   ","10 ","0 ",-10
42,"10-40798-01         ","T-CAP 100uF 6.3V 20% SMT3216 ESR=500m? H=1.6mm TLJA107M006R0500 AVX FOR GSM LR ","10 ","64 ",984
43,"10-40799-01         ","T-CAP 100uF 10V 20% SMT3528 ESR=900m? H=1.2mm TLJT107M010R0900 AVX FOR GSM LR  ","10 ","0 ",-10
44,"10-50588-01         ","*MO-CAP 0.47uF 6.3V 80-20% SMT0402 Y5V C1005Y5V474ZCT DARFON LR                 ","60 ","50 ",8358
45,"10-51163-02         ","MO-CAP 1000pF 50V 10% SMT0402 X7R C1005X7R102KGT DARFON LR                      ","30 ","1854 ",5138
46,"10-51166-03         ","*MO-CAP 12pF 50V 5% SMT0402 NPO C1005NPO120JGT DARFON LR                        ","20 ","1281 ",1261
47,"10-51167-03         ","*MO-CAP 100pF 50V 5% SMT0402 NPO C1005NPO101JGT DARFON LR                       ","100 ","0 ",-100
48,"10-51176-02         ","*MO-CAP 39pF 50V 5% SMT0402 NPO C1005NPO390JGT DARFON LR                        ","20 ","2849 ",8971
49,"10-51217-04         ","MO-CAP 22uF 6.3V 20% SMT0805 X5R H=1.45mm(MAX) CV21X5R226M06AT AVX/KYOCERA LR   ","80 ","1065 ",985
50,"10-51242-02         ","*MO-CAP 10uF 25V 10% SMT1206 X5R H=1.75mm(MAX) CM316X5R106K25AT AVX/KYOCERA LR  ","10 ","1027 ",1017
,"10-51243-01         ","* OldPn 10-51243-04 *","0 ","0 ",0
,"10-51243-02         ","* OldPn 10-51243-04 *","0 ","0 ",0
53,"10-51243-04         ","MO-CAP 2.2uF 10V 10% SMT0603 X5R H=0.90mm(MAX) CM105X5R225K10AT AVX/KYOCERA LR  ","10 ","0 ",-10
54,"10-51300-01         ","*MO-CAP 1.5pF 50V 0.1pF SMT0402 NPO C1005NPO159BGT DARFON LR                    ","20 ","1154 ",7124
55,"10-51306-01         ","*MO-CAP 1500pF 50V 10% SMT0402 X7R C1005X7R152KGT DARFON LR                     ","10 ","3785 ",3775
56,"10-51314-01         ","*MO-CAP 1pF 50V 0.1pF SMT0402 NPO C1005NPO109BGT DARFON FOR GSM LR              ","10 ","3780 ",3770
57,"10-51315-01         ","MO-CAP 1uF 16V 20% SMT0603 X5R H=0.90mm(MAX) CM105X5R105M16AT AVX/KYOCERA LR    ","90 ","8050 ",7960
58,"10-51316-01         ","MO-CAP 4.7uF 6.3V 10% SMT0603 X5R H=0.90mm(MAX) CM105X5R475K06AT AVX/KYOCERA LR ","50 ","0 ",-50
,"10-51327-03         ","* OldPn 10-51316-01 *","0 ","0 ",0
60,"10-51351-01         ","MO-CAP 0.2pF 50V 0.25pF SMT0603 NPO C1608NP0208CGT DARFON FOR GSM LR            ","10 ","0 ",590
61,"10-51359-01         ","MO-CAP 1.8pF 50V 0.1pF SMT0402 NPO 0402N1R8B500LT WALSIN LR                     ","10 ","3865 ",3855
62,"10-51366-01         ","*MO-CAP 4.7uF 6.3V 20% SMT0402 X5R H=0.65mm(MAX) CL05A475MQ5NRNC Samsung FOR GSM","20 ","0 ",10785
63,"10-51424-02         ","*MO-CAP 820PF 50V 10% SMT0402 X7R C1005X7R821KGT DARFON LR","10 ","0 ",-10
64,"10-51475-02         ","*MO-CAP 0.01uF 50V ±10% SMT0603 X7R C1608X7R103KGT DARFON LR","10 ","90 ",3311
65,"10-51479-02         ","*MO-CAP 47pF 50V 5% SMT0402 NPO C1005NP0470JGT DARFON LR","90 ","1483 ",4795
,"10-51480-03         ","* OldPn 10-51480-04 *","0 ","0 ",0
67,"10-51480-04         ","MO-CAP 10uF 10V +80-20% SMT0805 Y5V CM21Y5V106Z10AT AVX/KYOCERA LR              ","110 ","0 ",-107
68,"10-51495-02         ","*MO-CAP 0.01uF 16V 10% SMT0402 X7R C1005X7R103KET DARFON LR","100 ","1898 ",2538
69,"10-52804-02         ","MO-CAP 10pF 50V 5% SMT0402 NPO C1005NPO100JGT DARFON LR","70 ","1429 ",1359
,"10-52819-07         ","* OldPn 10-51315-01 *","0 ","0 ",0
71,"10-52820-02         ","MO-CAP 33nF 16V 10% SMT0402 X7R C1005X7R333KET DARFON LR","10 ","0 ",2797
72,"10-52823-02         ","MO-CAP 27pF 50V 5% SMT0402 NPO C1005NPO270JGT DARFON LR","10 ","3835 ",3988
73,"10-52831-02         ","MO-CAP 4.7pF 50V ±0.25pF SMT0402 NPO C1005NPO4R7CGT DARFON LR","20 ","0 ",8109
74,"10-52833-05         ","MO-CAP 15pF 50V 5% SMT0402 NPO C1005NPO150JGT DARFON LR","20 ","0 ",-20
75,"10-52838-02         ","MO-CAP 2200pF 50V 10% SMT0402 X7R 0402B222K500CT WALSIN LR                      ","10 ","3417 ",3407
76,"10-52839-05         ","MO-CAP 4.7uF 10V ±10% SMT0805 X5R AVXCM21X5R475K10AT AVX LR                    ","30 ","0 ",-30
,"10-52843-05         ","* OldPn 10-52843-06 *","0 ","0 ",0
78,"10-52843-06         ","MO-CAP 1uF 6.3V 10% SMT0402 X5R CM05X5R105K06AH KYOCERA FOR GSM LR              ","350 ","0 ",-350
,"10-52843-09         ","* OldPn 10-52843-06 *","0 ","0 ",0
80,"10-52845-03         ","MO-CAP 33pF 50V 5% SMT0402 NPO C1005NPO330JGT DARFON LR","40 ","690 ",650
81,"10-52848-03         ","MO-CAP 0.1uF 10V 10% SMT0402 X7R C1005X7R104KDT DARFON LR","660 ","0 ",2294
